Rank,Mean_CV_ROC_AUC,CV_ROC_AUC_STD,Mean_Train_ROC_AUC,Selected_k,Hidden_Layers,Activation,Alpha,Learning_Rate,Early_Stopping
1,0.9214444212818196,0.029721310511772504,0.9279773497671892,15,"(32,)",relu,0.01,0.01,True
2,0.9192202197080246,0.027681995550172218,0.9362029753899839,all,"(64, 32)",relu,0.001,0.01,True
3,0.9157623767379865,0.03343283902694698,0.9478547032527818,15,"(100, 50)",relu,0.1,0.01,True
4,0.9143469297940842,0.03458431103139119,0.9216493554165165,12,"(64, 32)",relu,0.0001,0.005,True
5,0.9132001131459127,0.038295707822829816,0.9153912978714495,12,"(100,)",tanh,0.1,0.01,True
6,0.912891081617369,0.03746898591303551,0.9157098657794098,12,"(100, 50)",tanh,0.01,0.01,True
7,0.9107020731952982,0.0405218321733891,0.9155633031210968,12,"(100,)",tanh,0.0001,0.005,True
8,0.910206687821864,0.035374698126979,0.9132877409633764,12,"(64,)",tanh,0.1,0.005,True
9,0.9096914948947468,0.0286576046720412,0.9163963209689658,12,"(100, 50)",relu,0.01,0.005,True
10,0.9091027009726197,0.047307179391471506,0.9313000835276398,18,"(64, 32)",relu,0.01,0.01,True
