Feature,Category,Total_Patients,Heart_Disease_Cases,Heart_Disease_Rate,Heart_Disease_Rate_Percentage
Sex,F,193,50,0.25906735751295334,25.91
Sex,M,725,458,0.6317241379310344,63.17
ChestPainType,ASY,496,392,0.7903225806451613,79.03
ChestPainType,ATA,173,24,0.13872832369942195,13.87
ChestPainType,NAP,203,72,0.35467980295566504,35.47
ChestPainType,TA,46,20,0.43478260869565216,43.48
FastingBS,0,704,338,0.48011363636363635,48.01
FastingBS,1,214,170,0.794392523364486,79.44
RestingECG,LVH,188,106,0.5638297872340425,56.38
RestingECG,Normal,552,285,0.5163043478260869,51.63
RestingECG,ST,178,117,0.6573033707865169,65.73
ExerciseAngina,N,547,192,0.3510054844606947,35.1
ExerciseAngina,Y,371,316,0.8517520215633423,85.18
ST_Slope,Down,63,49,0.7777777777777778,77.78
ST_Slope,Flat,460,381,0.8282608695652174,82.83
ST_Slope,Up,395,78,0.19746835443037974,19.75
