Feature,Mutual_Information_Score
ST_Slope_Up,0.22693035813867146
ST_Slope_Flat,0.17341751108783263
ChestPainType_ASY,0.14033032748420812
ExerciseAngina_N,0.12946832655681734
ExerciseAngina_Y,0.12946832655681734
Oldpeak,0.09855584073089907
MaxHR,0.09192509365666757
ChestPainType_ATA,0.0836519872937958
Cholesterol,0.061027807442790794
Sex_F,0.03973825566047062
Sex_M,0.03973825566047062
FastingBS_0,0.03634546946201679
FastingBS_1,0.03634546946201679
ChestPainType_NAP,0.02573325601735857
RestingBP,0.02272915359811023
Age,0.021405753543363826
ST_Slope_Down,0.011705910136449928
RestingECG_ST,0.005551016919711493
RestingECG_Normal,0.005281060414374483
ChestPainType_TA,0.0012313358116404494
RestingECG_LVH,0.00024840231308881355
