Feature,Importance
ST_Slope_Up,0.207852623747234
ST_Slope_Flat,0.1485369226775887
ChestPainType_ASY,0.10711301722552259
Oldpeak,0.08707425883395307
MaxHR,0.08653139017792902
ExerciseAngina_N,0.08330271719974189
ExerciseAngina_Y,0.06623395872445441
Cholesterol,0.0465455353345124
RestingBP,0.04524963237386904
Sex_F,0.025573264930990828
FastingBS_0,0.021613966471975533
ChestPainType_ATA,0.02152267991584016
Sex_M,0.020038928147844155
FastingBS_1,0.017707243314336638
ChestPainType_NAP,0.015103860924207594
