Rank,Mean_CV_ROC_AUC,CV_ROC_AUC_STD,Mean_Train_ROC_AUC,Selected_k,N_Estimators,Max_Depth,Min_Samples_Split,Min_Samples_Leaf,Max_Features,Class_Weight
1,0.9332666390118964,0.023736975596338087,0.9758718772610356,15,500,20,5,4,log2,balanced
2,0.9322887972210466,0.025368917172839605,0.978492739148415,all,200,10,5,4,log2,
3,0.9315774098429925,0.022728404323808862,0.9919182526733297,15,500,20,5,2,log2,
4,0.9309800106548074,0.02462950776036184,0.9833887102594229,18,300,,10,2,sqrt,
5,0.9308275865457437,0.025532146226835608,0.9778035212042313,18,300,15,5,4,log2,balanced
6,0.9307864132254376,0.026971924655128557,0.9719524683267947,12,500,15,10,4,sqrt,balanced
7,0.929322788021975,0.02721995121066986,0.9565499412070491,12,700,5,10,4,sqrt,
8,0.9239432473578816,0.021787157463841494,0.9857414579323267,15,200,20,2,4,,
9,0.9236041956638162,0.027847266339599837,0.9738153579663656,10,200,,2,4,sqrt,balanced
10,0.9229588498423187,0.029114976871838977,0.9718886714353194,10,700,15,10,4,log2,balanced
