Rank,Mean_CV_ROC_AUC,CV_ROC_AUC_STD,Mean_Train_ROC_AUC,Selected_k,C,Gamma,Kernel,Class_Weight
1,0.9197039676172467,0.027718095168342578,0.9615471291401594,all,0.5,0.1,poly,balanced
2,0.9196918247866757,0.032657871564250256,0.925744019358412,all,50.0,auto,linear,balanced
3,0.9189402467451246,0.03086130467862104,0.9260470042056552,all,0.5,0.001,linear,balanced
4,0.9182762093873205,0.035870208161561584,0.9260922007544362,18,0.5,0.1,linear,
5,0.9181960947814606,0.0372070671203081,0.9295376707230343,12,0.5,auto,rbf,balanced
6,0.917948619683037,0.029691579377624434,0.9601190154890945,18,1.0,0.1,poly,balanced
7,0.916398941818996,0.03710775405679842,0.923810003795859,18,5.0,1,linear,
8,0.9162154797927154,0.03483834210725138,0.9246084080190833,all,1.0,0.01,rbf,balanced
9,0.9148372334280193,0.04105181012034742,0.9200601902879981,12,1.0,scale,linear,balanced
10,0.9134855047592175,0.03985232019169031,0.9208863996808734,12,2.0,scale,linear,balanced
