Rank,Mean_CV_ROC_AUC,CV_ROC_AUC_STD,Mean_Train_ROC_AUC,Selected_k,N_Estimators,Max_Depth,Learning_Rate,Subsample,Colsample_Bytree,Min_Child_Weight
1,0.9329221827053805,0.028869571242672976,0.9711542422230993,15,500,4,0.03,0.7,0.8,7
2,0.9329144688494282,0.027735295454678708,0.9806533386565217,12,700,5,0.01,0.7,0.9,3
3,0.9328986621127543,0.028552994581927824,0.9541469315768797,15,200,2,0.03,0.8,0.7,1
4,0.9321547909081784,0.031692990457227725,0.9749663912815258,all,700,2,0.03,0.8,0.7,5
5,0.9319514862333291,0.030913349993805204,0.9643233612031684,12,300,2,0.05,0.7,1.0,5
6,0.9319379887401567,0.023842470664881613,0.9911630007864879,15,300,5,0.03,0.9,0.8,3
7,0.9311388501090399,0.02639602662446086,0.9708568333275034,12,300,3,0.03,1.0,1.0,5
8,0.9306532491898345,0.03103079837756154,0.9688590098478158,12,300,2,0.05,0.7,0.8,1
9,0.9301207404459436,0.026348967432972537,0.9418768135590474,15,300,2,0.01,1.0,0.7,3
10,0.9299295224498476,0.025454641382353007,0.9817911812861262,18,200,3,0.05,0.8,1.0,3
